timestamp,Open,High,Low,Close,Volume
1684047240,26858.0,26858.01,26858.0,26858.0,3.24503
1684047300,26858.01,26858.01,26849.29,26849.96,10.34642
1684047360,26849.96,26849.97,26849.37,26849.37,4.13437
1684047420,26849.37,26849.38,26847.66,26847.67,2.68565
1684047480,26847.66,26847.67,26847.66,26847.66,3.58424
1684047540,26847.66,26847.67,26839.86,26843.29,20.68644
1684047600,26843.29,26849.96,26843.28,26849.9,9.6824
1684047660,26849.9,26849.9,26841.92,26841.92,6.22923
1684047720,26841.92,26841.93,26840.3,26840.77,5.02981
1684047780,26840.76,26853.57,26840.76,26853.56,9.46534
1684047840,26853.56,26853.57,26848.27,26848.27,2.89633
1684047900,26848.27,26848.28,26846.94,26846.94,3.68572
1684047960,26846.95,26848.29,26846.94,26848.29,2.76587
1684048020,26848.28,26853.59,26848.28,26853.58,5.02637
1684048080,26853.58,26854.99,26851.52,26851.53,10.80544
1684048140,26851.52,26851.53,26851.52,26851.52,2.04537
1684048200,26851.52,26864.68,26851.52,26862.98,28.25124
1684048260,26862.97,26862.98,26857.39,26857.4,5.44535
1684048320,26857.39,26857.4,26848.28,26848.29,8.79598
1684048380,26848.29,26851.52,26848.28,26851.51,3.20966
1684048440,26851.51,26859.8,26851.51,26859.79,4.77702
1684048500,26859.8,26859.8,26854.63,26854.63,8.3764
1684048560,26854.64,26866.09,26854.63,26866.09,6.03497
1684048620,26866.09,26870.85,26866.08,26870.84,4.869
1684048680,26870.85,26873.66,26870.82,26870.9,11.76909
1684048740,26870.91,26870.92,26860.47,26860.47,9.05806
1684048800,26860.47,26860.48,26849.17,26852.85,9.82382
1684048860,26852.84,26852.85,26848.81,26851.12,5.49739
1684048920,26851.12,26851.13,26851.12,26851.12,3.02522
1684048980,26851.12,26852.82,26851.12,26852.81,1.66611
1684049040,26852.81,26852.82,26852.81,26852.82,4.43381
1684049100,26852.81,26852.82,26848.98,26848.98,6.86319
1684049160,26848.99,26848.99,26847.59,26847.59,4.23996
1684049220,26847.59,26847.6,26844.15,26844.21,4.84798
1684049280,26844.21,26848.42,26844.2,26844.22,4.38509
1684049340,26844.22,26844.22,26843.04,26843.05,1.9298
1684049400,26843.05,26843.05,26828.67,26839.85,22.91063
1684049460,26839.85,26840.66,26839.85,26840.65,3.87884
1684049520,26840.65,26841.67,26840.65,26841.66,3.75474
1684049580,26841.66,26842.04,26841.66,26842.03,5.74968
1684049640,26842.03,26845.39,26841.58,26841.59,6.56838
1684049700,26841.58,26841.59,26836.14,26836.14,2.68448
1684049760,26836.14,26838.87,26836.14,26838.87,7.93752
1684049820,26838.86,26838.87,26833.98,26833.98,6.23916
1684049880,26833.99,26833.99,26833.98,26833.98,2.9571
1684049940,26833.98,26833.99,26833.98,26833.99,1.02463
1684050000,26833.99,26837.83,26833.98,26837.82,6.72177
1684050060,26837.83,26847.87,26837.82,26841.09,14.79372
1684050120,26841.1,26841.1,26839.86,26839.86,1.87608
1684050180,26839.87,26839.87,26834.82,26834.83,5.29837
1684050240,26834.82,26835.14,26834.82,26835.13,4.37073
1684050300,26835.14,26835.14,26831.76,26832.94,18.13371
1684050360,26832.95,26833.92,26832.94,26833.9,8.1684
1684050420,26833.91,26833.91,26833.87,26833.87,5.03667
1684050480,26833.87,26833.88,26829.68,26831.1,7.49494
1684050540,26831.09,26836.88,26831.09,26836.87,5.117
1684050600,26836.87,26837.02,26836.87,26837.02,5.87404
